,2-aminoadipate,3-phosphoglycerate,alpha-glycerophosphate,4-pyridoxate,aconitate,adenine,adipate,alpha-ketoglutarate,AMP,citrate,isocitrate,CMP,cystathionine,cytidine,dCMP,DHAP/glyceraldehyde 3P,erythrose-4-phosphate,F1P/F6P/G1P/G6P,hexoses (HILIC neg),fumarate/maleate/alpha-ketoisovalerate,glucuronate,glutathione oxidized,glutathione reduced,GMP,guanosine,hippurate,hypoxanthine,inosine,kynurenine,lactate,lactose,malate,NAD,NADP,oxalate,pantothenate,PEP,ribose-5-P/ribulose5-P,sorbitol,succinate/methylmalonate,sucrose,thymine,UMP,UDP-galactose/UDP-glucose,uracil,urate,uridine,xanthine,taurocholate,glycodeoxycholate/glycochenodeoxycholate,taurodeoxycholate/taurochenodeoxycholate,phosphocreatine,3-methyladipate/pimelate,6-phosphogluconate,alpha-hydroxybutyrate,2-hydroxyglutarate,inositol,malondialdehyde,glycine,alanine,serine,threonine,methionine,aspartate,glutamate,asparagine,glutamine,histidine,arginine,lysine,valine,leucine,isoleucine,phenylalanine,tyrosine,tryptophan,proline,cis/trans-hydroxyproline,ornithine,citrulline,taurine,5-HIAA,serotonin,GABA,acetylglycine,dimethylglycine,homocysteine,SDMA/ADMA,NMMA,allantoin,anthranilic acid,kynurenic acid,5-adenosylhomocysteine,carnosine,N-carbamoyl-beta-alanine,thiamine,niacinamide,betaine,choline,alpha-glycerophosphocholine,acetylcholine,creatine,creatinine,thyroxine,trimethylamine-N-oxide,hexoses (HILIC pos),adenosine,thymidine,xanthosine,2-deoxyadenosine,2-deoxycytidine,cAMP,cotinine,pipecolic acid,pyroglutamic acid,1-methylnicotinamide,butyrobetaine,putrescine,methionine sulfoxide,carnitine,acetylcarnitine,propionylcarnitine,malonylcarnitine,butyrylcarnitine/isobutyrylcarnitine,valerylcarnitine/isovalerylcarnitine/2-methylbutyroylcarnitine,hexanoylcarnitine,heptanoylcarnitine,lauroylcarnitine,myristoylcarnitine,palmitoylcarnitine,stearoylcarnitine,oleylcarnitine,arachidonyl_carnitine,sarcosine,beta-alanine,anserine,C14:0 LPC,C16:1 LPC,C16:0 LPC,C18:2 LPC,C18:1 LPC,C18:0 LPC,C20:4 LPC,C20:3 LPC,C22:6 LPC,C16:0 LPE,C18:1 LPE,C18:0 LPE,C20:4 LPE,C22:6 LPE,C32:2 PC,C32:1 PC,C32:0 PC,C34:4 PC,C34:3 PC,C34:2 PC,C34:1 PC,C36:4 PC-A,C36:4 PC-B,C36:3 PC,C36:2 PC,C36:1 PC,C38:6 PC,C38:5 PC,C38:4 PC,C38:2 PC,C40:6 PC,C14:0 SM,C16:1 SM,C16:0 SM,C18:2 SM,C18:1 SM,C18:0 SM,C22:1 SM,C22:0 SM,C24:1 SM,C24:0 SM,C34:2 DAG,C34:1 DAG,C36:2 DAG,C36:1 DAG,C14:0 CE,C16:1 CE,C16:0 CE,C18:3 CE,C18:2 CE,C18:1 CE,C18:0 CE,C20:5 CE,C20:4 CE,C20:3 CE,C22:6 CE,C46:2 TAG,C46:1 TAG,C46:0 TAG,C48:3 TAG,C48:2 TAG,C48:1 TAG,C48:0 TAG,C50:3 TAG,C50:2 TAG,C50:1 TAG,C50:0 TAG,C52:5 TAG,C52:4 TAG,C52:3 TAG,C52:2 TAG,C52:1 TAG,C54:7 TAG,C54:6 TAG,C54:5 TAG,C54:4 TAG,C54:3 TAG,C54:2 TAG,C54:1 TAG,C56:8 TAG,C56:7 TAG,C56:6 TAG,C56:5 TAG,C56:4 TAG,C56:3 TAG,C56:2 TAG,C58:8 TAG,C58:7 TAG,C58:6 TAG
SIDM00046,5.91015,6.16669,5.64105,5.95433,6.0752,5.653,5.90078,5.99578,5.7633,6.09895,6.0613,5.75393,5.60844,5.99294,5.55114,5.89256,6.07465,6.15771,6.1785,5.97056,5.93439,6.15321,6.0257,5.90711,6.14921,6.0598,6.07761,6.08811,6.12497,5.97388,6.1189,6.00165,6.09946,6.18494,5.76169,5.73696,6.119,6.0671,6.07557,5.92267,5.98264,6.11318,5.7794,6.00551,6.1459,5.99347,6.33956,6.06671,6.00541,6.1025,5.96493,5.57214,5.87792,6.4978,5.76542,5.89538,5.77848,5.97565,6.1171,6.16111,6.40166,6.46978,6.36265,6.18602,5.93808,5.77265,6.20539,6.32025,6.08969,6.56318,6.48786,6.29401,6.28599,6.50515,6.48269,6.30667,5.86821,5.31928,6.03697,6.06456,5.81406,5.85059,5.71154,5.69826,5.77139,5.98156,6.1663,6.02741,6.14837,6.04223,5.99685,6.17321,5.809,6.07801,6.24063,6.37067,6.438,5.88363,6.05297,6.04379,6.39364,5.78107,5.94137,6.02568,5.81282,6.30332,6.24599,6.35716,6.14893,5.87368,5.92426,5.96194,5.77514,5.52972,6.36892,6.38589,5.79296,5.79606,6.24625,5.86785,5.68668,5.79768,5.7367,5.75652,5.68398,5.80502,5.89738,5.65375,5.55397,5.43382,5.4376,5.51382,5.57578,5.89497,5.97214,5.96536,5.81605,5.73272,5.67415,5.84475,5.76561,5.54725,5.78003,5.5074,5.81901,5.49086,5.65152,5.54578,5.68672,5.41203,5.67697,5.66971,5.55798,5.62575,5.71603,5.77175,5.69135,5.71177,5.68023,5.77751,5.85596,5.59927,5.6829,5.72674,5.76034,5.77282,5.74042,5.58773,5.70105,5.45354,5.333,5.68571,5.16761,5.7729,5.87081,5.58757,5.38751,5.83852,5.89875,6.05374,5.78076,5.78277,5.87723,5.85057,5.97591,5.97816,5.90048,5.69237,5.95942,6.03278,5.84876,5.84675,5.7087,5.53902,5.60787,5.69472,5.66346,5.46248,5.45247,5.7464,5.70676,5.52557,5.52727,5.66024,5.71674,5.83986,5.72156,5.57381,5.85281,5.83946,5.71376,5.85454,6.01373,5.77331,5.66197,5.56299,5.99813,5.91797,5.82494,5.88662,6.07825,5.86329,6.03493,6.07186,5.91226
SIDM00047,5.91088,5.86767,5.73957,6.07949,5.8774,5.9697,5.84949,5.83491,5.91579,5.86537,5.8784,5.89074,5.92187,5.89097,5.70137,5.83677,5.81744,5.79819,5.79053,5.847,5.94901,6.0191,5.97522,5.94095,6.01645,5.87971,5.83847,5.92732,6.03823,5.7932,5.8646,5.82828,5.86754,6.15798,5.84412,5.77052,5.81819,5.73366,5.77652,5.81514,5.84588,5.98331,5.92412,5.87661,5.8455,5.75989,6.06079,5.86768,5.83772,5.91539,5.75716,5.95183,5.87762,5.88146,5.77347,5.74288,5.94399,5.82977,5.75036,5.8759,5.80267,5.74186,5.69837,6.08334,5.84872,6.13687,5.70891,5.81131,6.01844,5.76807,5.72248,5.74212,5.6821,5.73586,5.73005,5.71283,5.91939,6.1289,6.06857,5.91161,5.91896,5.81457,5.86029,6.08185,5.78959,5.85506,6.079,5.92069,5.92847,5.84761,6.36255,5.82795,6.03702,5.86464,6.318,5.73969,5.5994,5.85859,5.77817,5.84706,5.42361,5.78119,5.86029,5.89344,5.76434,5.87997,6.09914,6.13572,5.89118,6.04914,6.12833,5.99584,5.94301,5.85794,5.81107,6.3961,5.9052,5.96801,5.90431,5.90823,5.93102,5.90797,6.03071,5.93489,6.25592,6.07951,5.91503,6.27915,6.26041,6.25841,6.32727,6.27267,5.879,5.95811,6.06108,5.89808,5.9341,5.92473,5.94677,5.9558,5.97036,5.99937,5.91235,5.96891,5.90099,5.91604,5.89318,6.04161,5.91406,5.88554,5.89252,5.90504,5.93699,5.83767,5.85719,5.91859,5.93318,5.82171,5.81458,5.86817,5.93058,5.96571,5.82614,5.82905,5.8426,5.9716,5.80732,5.95127,5.93084,5.94249,5.90971,5.90123,5.93449,5.87063,5.95684,5.97463,6.01241,5.92333,6.06629,6.00672,5.99507,6.09463,5.98358,5.95528,6.01325,5.95242,5.99908,6.13005,5.9926,5.96471,6.05366,6.08492,5.93588,5.98984,6.0482,5.88956,5.87349,5.9924,6.13941,5.8232,5.91018,6.01462,6.10767,5.6872,5.70153,5.77292,5.89871,5.93171,5.64945,5.60341,5.65757,5.64384,5.78383,5.85426,5.99059,5.65144,5.59162,5.63492,5.59269,5.61315,5.76076,5.8808,5.51078,5.41381,5.46777
SIDM00048,5.71871,5.93944,5.67632,6.05722,5.92537,5.79154,5.90084,5.84822,5.71778,5.88583,5.92027,5.67511,5.34508,5.36112,5.54731,5.97587,5.90642,5.90623,5.85554,5.91601,5.97127,5.97742,5.86854,5.76506,5.77126,5.99009,5.7242,5.86366,5.93048,5.94243,5.89073,5.92473,5.90649,6.00308,5.86051,5.68355,5.91011,6.01892,5.97041,5.88482,5.80107,5.99782,5.70887,5.89342,5.98434,5.92124,5.86736,5.86402,5.95671,5.96768,6.37244,5.76561,5.90174,6.1561,5.7667,5.97943,5.8501,5.9731,5.76548,5.83106,5.91999,5.69189,5.8076,6.03987,5.82377,6.20165,5.76067,5.74599,6.10615,5.74199,5.74937,5.81435,5.79301,5.74486,5.75271,5.74574,5.86515,6.10184,6.1165,5.87596,5.8934,5.87287,5.93499,6.14068,5.8169,5.89315,5.89384,5.85749,5.85926,5.89886,6.27699,5.89908,5.769,5.94056,6.07349,5.82627,5.72618,5.85151,5.92868,5.78201,5.90375,5.75824,5.87445,5.92829,5.82967,6.02003,6.14477,5.80422,5.95731,5.86825,5.29923,5.96123,5.95593,5.34532,5.8728,6.96722,5.8355,6.07944,5.9258,5.89243,5.83286,5.77992,5.91563,5.92013,6.20063,6.08238,5.98599,6.15979,6.03467,5.97061,6.10911,6.05429,5.91158,5.92268,6.0521,5.9839,5.93327,5.85302,5.86923,5.92375,5.88724,5.94668,5.87317,5.90423,5.89046,5.87273,5.8707,5.95064,5.82804,5.80888,5.95575,5.86986,5.89665,5.86785,5.89639,5.90255,5.8794,5.87432,5.7834,5.82284,5.8966,5.89366,5.80528,5.81165,5.79595,5.90008,5.72245,6.0214,5.92671,5.94505,5.73484,5.87888,5.87639,5.85563,5.93131,5.98481,5.99963,5.68906,5.84658,5.87138,5.85503,5.89144,5.91691,5.90817,5.98291,5.96498,5.89501,5.9461,6.01245,5.99706,5.98636,6.0089,5.8466,5.78145,5.87995,5.78379,5.7657,5.70843,5.81302,5.73641,5.74513,5.71711,5.79588,5.75173,5.64557,5.71133,5.72949,5.69774,5.82425,5.75478,5.67077,5.63691,5.72002,5.71825,5.78191,5.70488,5.74225,5.7574,5.6188,5.59255,5.69336,5.75618,5.80091,5.67158,5.64361
SIDM00098,6.03565,5.95502,5.81571,5.73607,5.95967,5.86134,5.88555,5.89165,5.863,5.96041,5.98136,5.91036,5.77927,5.98455,5.84549,5.78118,5.9088,5.88032,5.88147,5.93868,5.81508,5.93735,5.91141,5.92638,5.93515,5.88103,5.7682,5.88476,5.95825,5.72186,5.96023,5.94922,5.85716,5.96421,5.85574,5.77658,5.97839,5.83012,5.89533,5.88788,5.97411,5.864,5.83961,5.90084,5.86257,5.8359,5.93894,5.83145,5.94933,5.87884,5.60451,5.85499,5.91127,6.01539,5.73281,5.94106,5.90327,5.83483,5.91239,5.89407,6.04402,5.96911,5.95447,6.18005,5.93332,6.10633,5.92787,6.01808,6.05017,5.95292,5.92294,5.92495,5.95155,5.95207,5.97764,5.91225,5.84086,5.86322,6.07003,5.88615,5.84913,5.83516,5.76146,5.68226,5.73737,5.86538,5.94968,5.87723,5.85096,5.84746,6.12089,5.96802,5.89548,5.87729,6.03314,5.8947,5.86241,5.8748,5.8791,6.04041,5.3089,5.90744,5.88455,5.91616,5.82965,5.86695,5.58877,5.91859,5.81386,5.86671,6.02444,6.05582,5.73063,5.90434,5.94243,6.17057,5.777,5.7687,5.92472,5.8063,5.6787,5.84326,5.74431,5.64684,5.80013,5.69739,5.81093,5.7128,5.68076,5.60276,5.66686,5.70115,5.83677,5.90747,5.86431,5.88712,5.97661,6.04628,6.02053,6.03696,5.99621,6.04944,5.9881,6.00933,5.95313,5.91483,5.93725,5.93582,5.91113,6.02349,5.9007,5.885,5.93421,5.92719,5.91593,5.91064,5.87746,5.85302,5.89059,5.87862,5.89053,5.86052,5.88335,5.90256,5.89387,5.90709,5.82102,5.85872,5.87019,5.79723,5.79632,5.89836,5.78706,5.87164,5.90269,5.85572,5.62046,5.73341,5.93395,5.95551,5.87131,5.87108,5.88244,5.8747,5.94082,5.8884,5.87177,5.84131,5.91387,5.90102,5.88893,5.90841,5.93533,5.79042,5.8408,5.82422,5.85173,5.7489,5.69809,5.88954,5.84674,5.7655,5.70023,5.87111,5.87582,5.87397,5.87021,5.7261,5.96357,5.91949,5.89881,5.86211,5.90409,5.82667,5.77312,5.86453,5.95987,5.96913,5.86601,5.85717,5.88512,5.86186,6.00792,5.94286,5.85636
SIDM00099,6.01883,5.88155,5.80774,5.97297,5.92313,5.88593,5.9607,5.91403,5.89748,5.92801,5.95921,5.88596,5.74821,6.00687,5.79527,5.8057,5.93661,5.84558,5.88486,5.91153,5.90172,5.90395,5.90224,5.92069,6.1327,5.92105,5.96581,6.02611,6.03647,5.71506,5.92872,5.89745,5.86851,5.97068,5.92948,5.86139,5.88158,5.74902,5.89707,5.87337,5.98339,6.04592,5.85928,5.92413,5.88471,5.79221,6.08718,5.84999,5.84263,5.94575,5.56011,5.59014,5.94939,5.93914,5.76581,5.92067,6.01107,5.79554,5.84256,5.80975,5.95663,5.83781,5.79693,6.14317,6.00038,5.99748,5.90759,5.88541,6.00832,5.87649,5.82824,5.79268,5.73735,5.81791,5.77451,5.7884,5.82969,5.9534,6.09957,5.91206,5.80754,5.89563,5.80308,5.67725,5.80551,5.85474,5.7914,5.85405,5.80532,5.8292,6.15684,5.82638,5.8964,5.89227,6.18667,5.77882,5.7105,5.85758,5.89548,5.92889,5.51101,5.77096,5.79259,5.91727,5.84298,5.92113,5.94548,6.22585,5.83034,6.03783,6.19879,6.02696,5.93326,5.85116,5.84826,6.12826,5.81198,5.81771,5.86441,5.87048,5.74125,5.83375,5.80176,5.70658,5.83419,5.77675,5.82077,5.86871,5.86168,5.85781,5.93315,5.93212,5.91293,5.83446,5.80126,5.92727,5.97638,5.88703,5.86138,5.99332,5.86274,5.92665,5.88296,5.91096,5.90863,5.70467,5.74694,5.71866,5.84478,5.82564,5.84629,5.82243,5.81534,5.93934,5.91863,5.90302,5.87789,5.95928,6.01514,5.94497,5.89725,5.85908,6.00751,6.03585,6.01042,5.87517,5.98958,5.85743,5.85753,5.81368,5.72866,5.82358,5.75375,5.94342,5.90131,5.8826,5.81742,5.87267,5.80426,5.92966,5.82879,5.97147,5.99076,5.90823,6.05949,6.01405,5.99683,6.00985,6.08938,6.01668,6.124,6.135,5.88261,5.68853,5.7981,5.82953,5.77331,5.64981,5.67815,5.88152,5.79502,5.72341,5.75672,5.95005,5.94434,5.88417,5.82955,5.75438,5.99271,5.98129,5.99199,5.9784,5.954,5.82735,5.85595,5.88805,6.03553,6.06422,6.06043,5.99425,5.93414,5.85241,6.12101,6.13574,6.05066
SIDM00100,6.04339,5.94144,5.77776,5.92068,5.89753,5.8646,5.89334,5.87201,5.86339,5.89258,5.91469,5.86068,5.89477,5.89844,5.80453,5.80502,6.00406,5.95221,5.8169,5.8629,5.84347,5.88773,5.87975,5.92177,5.99552,5.90532,5.83393,5.95946,6.04581,5.76277,5.78857,5.84098,5.85434,5.99305,5.89639,5.82077,5.94128,5.80312,5.88733,5.84548,5.85662,5.86198,5.82275,5.83939,5.7654,5.82552,5.93183,5.7959,5.81256,5.92048,5.31285,5.88078,5.93192,5.99096,5.80086,5.86679,5.92979,5.86784,5.90185,5.94243,5.86839,6.06341,5.90253,6.02018,5.84695,5.92982,5.81143,6.02153,5.95181,5.96908,5.97947,5.86656,5.86976,5.97764,5.98955,5.92853,5.81696,5.75656,5.99774,5.85335,5.82882,5.88175,5.87583,5.66776,5.77493,5.85665,5.96105,5.87257,5.87394,5.82712,6.12957,5.84962,5.9215,5.89294,6.23114,5.83812,5.79833,5.83582,5.80991,6.16563,5.66793,5.82255,5.83983,5.90081,5.8847,5.92618,5.89063,6.02056,5.83328,5.9181,6.00745,6.00564,5.89133,5.96064,5.84338,6.092,5.82823,5.75994,5.91248,5.80885,5.78567,5.86978,5.7844,5.78427,5.86918,5.79365,5.83467,6.02158,6.02322,5.94741,5.96576,6.0153,5.88626,5.96594,5.85621,5.93069,5.96252,5.91078,5.89957,5.97532,5.88438,5.92628,5.87918,5.89163,5.93673,5.87739,5.87458,5.87984,5.90411,5.83978,5.85288,5.86987,5.89482,5.88727,5.86304,5.89613,5.89256,5.84139,5.90353,5.88822,5.90327,5.87034,5.87526,5.89528,5.90997,5.90416,5.82841,5.84802,5.86151,5.82406,5.84556,5.89024,5.81565,5.88668,5.91612,5.84453,5.7665,5.90211,5.85131,5.87428,5.85479,5.91135,5.8454,5.85559,5.89661,5.83599,5.85028,5.88383,5.89627,5.85651,5.88803,5.90856,5.99552,5.9105,5.98502,5.88841,5.90154,5.87106,5.93619,5.88871,5.89891,5.90094,5.9827,5.86485,5.85932,5.88238,5.91133,5.90181,5.89423,5.88138,5.85512,5.86281,5.91884,5.91207,5.97642,5.78274,5.92744,5.92706,5.86658,5.88123,5.91436,5.95464,5.93978,5.9181,5.87039
SIDM00101,5.91817,5.88698,5.85642,5.95173,5.88988,5.93553,5.87462,5.87171,5.95107,5.88499,5.89932,5.94672,5.7406,5.94492,5.78388,5.77764,5.9729,5.87055,5.75732,5.85995,5.84009,5.94879,5.93461,5.98339,5.99361,5.83947,5.77405,5.9442,6.06518,5.74573,5.76419,5.82663,5.89726,6.05513,5.87986,5.80868,5.87586,5.73074,5.88132,5.78756,5.80869,6.05547,5.94037,5.91602,5.83135,5.76987,5.98102,5.78028,5.91,5.90742,5.51674,5.5097,5.93288,5.87101,5.79497,5.91634,5.9561,5.8324,5.94933,5.9389,5.87433,5.91103,5.81343,6.07398,5.92321,6.0732,5.65556,5.88049,5.93755,5.80614,5.83884,5.79667,5.77121,5.86005,5.85001,5.80069,5.89169,5.96444,5.98652,5.90826,5.91255,5.83317,5.79417,5.82516,5.81938,5.84596,5.98188,5.84277,5.81827,5.78452,6.07771,5.75524,5.99047,5.83049,6.14325,5.72463,5.67576,5.86904,5.83302,5.93314,5.70669,5.73203,5.76526,5.85908,5.82668,5.8675,5.86914,6.09494,5.79249,5.85114,6.00227,6.00204,5.8986,5.82075,5.80388,6.21129,5.92137,5.88571,5.92558,5.9265,5.93173,5.99049,5.92898,5.89186,6.05443,5.88699,5.86444,5.98574,5.93783,5.85731,5.91576,5.87854,5.86984,5.96668,5.98189,5.89654,5.98312,5.85368,5.87873,5.90048,5.86149,5.93028,5.85861,5.90008,5.83746,5.85564,5.8393,5.9563,5.85311,5.73958,5.87116,5.86714,5.92786,5.88551,5.85431,5.89641,5.90424,5.88461,5.90005,5.88547,5.91143,5.92857,5.89345,5.90453,5.91075,5.98315,5.8416,5.94275,5.9107,5.93544,5.8091,5.87337,5.86874,5.90702,5.92534,5.99775,5.98225,5.98509,5.95578,5.96917,5.95685,6.03209,5.94654,5.92126,6.01485,5.92219,5.96085,6.07372,5.99603,5.93568,6.03803,6.07373,5.9354,5.90068,6.02422,5.84013,5.85812,5.92225,6.00476,5.83149,5.89488,5.96042,6.04897,5.82804,5.78264,5.8345,5.90979,5.94528,5.86107,5.84127,5.76687,5.79674,5.88419,5.93071,6.04313,5.70893,5.86075,5.86059,5.81239,5.8189,5.89034,5.98721,5.84963,5.84446,5.79536
SIDM00103,6.0374,5.99493,6.01358,5.96419,6.04706,5.85603,5.88724,6.00058,5.94907,6.048,6.0867,5.9347,5.73832,5.95398,5.76255,5.90906,5.96685,5.89345,5.73105,5.96116,5.9736,6.01496,5.98108,6.0157,6.04875,5.88803,5.73408,5.94031,6.02242,5.85429,5.88503,5.97375,5.9894,6.06568,5.86925,5.87061,6.00171,5.82751,5.87761,5.84827,5.93605,6.02418,5.92991,6.01516,5.7794,5.84698,6.00592,5.81883,5.87059,5.88052,5.55884,5.55986,5.88402,6.0024,5.77046,5.99923,6.04679,5.91013,5.88088,5.97735,5.8533,5.86023,5.7748,6.0817,6.0142,6.03986,5.75766,5.82257,5.93536,5.78046,5.80806,5.76452,5.72504,5.81003,5.79281,5.76252,5.93362,6.00329,6.00174,5.92491,5.9538,5.85396,5.91589,5.82214,5.81476,5.84747,5.94441,5.85471,5.82837,5.81848,6.12958,5.77658,5.99795,5.8212,6.35628,5.75519,5.68051,5.86237,5.80653,5.70696,5.59181,5.78792,5.79042,5.85594,5.78291,5.81704,5.95996,6.16218,5.82734,6.00687,6.16413,5.99392,5.86792,5.91196,5.84087,6.17584,5.93947,5.90024,5.82411,5.95874,5.95487,5.97781,5.97578,5.88449,5.98554,5.87066,5.81261,5.97519,5.98219,5.93154,5.99359,5.94219,5.87822,5.93763,5.99757,5.88256,5.90538,5.82396,5.84905,5.88159,5.8349,5.89759,5.83426,5.88524,5.78809,5.78532,5.78231,5.9157,5.75271,5.71312,5.84707,5.83123,5.86804,5.86658,5.88409,5.87799,5.88091,5.88909,5.89168,5.89486,5.88991,5.93122,5.8897,5.91138,5.90995,5.94938,5.91129,5.90257,5.89581,5.88098,5.76997,5.85033,5.83144,5.91406,5.90068,5.98656,5.98058,5.77647,5.84032,5.88524,5.87655,5.97288,5.90617,5.86921,6.0057,5.91121,5.92951,6.0537,5.9879,5.9191,6.04891,6.0696,5.88643,5.78025,5.9152,5.78578,5.77615,5.78369,5.86877,5.80337,5.81546,5.84624,5.92356,5.87862,5.84154,5.82297,5.84408,5.87568,5.90044,5.86401,5.87627,5.86594,5.87994,5.88811,5.97228,5.73832,5.8736,5.91257,5.91923,5.89731,5.89588,5.91737,5.91199,5.90525,5.87968
SIDM00104,6.06148,5.92106,5.83486,5.95269,5.89671,5.83579,5.91058,5.93381,5.9011,5.88301,5.91627,5.88931,5.89364,5.79366,5.82039,5.92277,5.90308,5.81973,5.808,5.91171,5.86385,5.98498,5.97265,5.93502,5.97863,5.89969,5.83891,5.93802,6.03105,5.81735,5.89525,5.90221,5.90941,6.02398,5.88699,5.83319,5.93107,5.8491,5.93432,5.89033,5.95843,5.9801,5.85597,5.91805,5.80497,5.89246,5.86775,5.83161,5.84955,5.90362,5.1612,5.61491,5.91773,5.90377,5.81961,5.99473,5.92936,5.9132,5.8924,5.94363,5.76968,6.01929,5.87124,5.96271,5.93135,5.85442,5.73454,5.98997,5.94265,5.96612,5.96809,5.84378,5.79406,5.97735,5.94128,5.93749,5.89553,5.7946,5.99887,5.91631,5.87972,5.89237,5.98384,5.78745,5.80454,5.86228,5.97616,5.87783,5.8749,5.84325,6.14289,5.86156,5.94437,5.88513,6.26644,5.85087,5.76301,5.89175,5.8375,6.05497,5.48727,5.78779,5.82883,5.90649,5.86792,5.89966,5.83431,6.01057,5.82323,6.04845,5.91239,5.98914,5.83642,6.09852,5.82698,6.27626,5.91121,5.86308,5.87171,5.92775,5.903,6.02303,5.89899,6.00135,6.00956,5.85108,5.86731,5.84352,5.82722,5.72039,5.76669,5.8093,5.88946,5.99389,5.95052,5.90279,5.9262,5.90955,5.87249,5.95464,5.88873,5.92697,5.89703,5.90421,5.90459,5.87815,5.86795,5.8838,5.88026,5.89364,5.86031,5.83882,5.87852,5.91977,5.91404,5.88194,5.86065,5.87634,5.89305,5.89447,5.89094,5.87335,5.91044,5.9239,5.91259,5.9219,5.86798,5.89838,5.88224,5.84296,5.81899,5.84107,5.80044,5.91154,5.90418,5.89271,5.8724,5.78885,5.89562,5.95372,5.89198,5.99121,5.93332,5.88588,5.97781,5.93264,5.92558,5.93912,5.97756,5.92744,6.02838,6.01967,5.90253,5.77234,5.89006,5.80668,5.75647,5.74366,5.81929,5.79618,5.78169,5.79462,5.86985,5.8413,5.81133,5.79487,5.81281,5.78891,5.90864,5.89528,5.84443,5.81555,5.83933,5.80759,5.88696,5.83362,5.93378,5.9243,5.86557,5.83523,5.83297,5.85987,5.95491,5.89911,5.85242
SIDM00114,5.82795,6.01495,5.8555,5.90804,5.90997,5.80413,5.91523,5.89345,5.83837,5.90887,5.9002,5.83547,5.57864,5.64792,5.69926,5.98473,5.92438,5.92903,5.87058,5.92853,5.94259,6.01235,5.90477,5.84661,5.73067,5.93303,5.97418,5.88441,5.94001,5.86528,5.91364,5.92927,5.85733,6.03639,5.84881,5.71335,6.049,5.91859,5.92272,5.92945,5.88478,6.0183,5.81875,5.8506,5.99611,5.94734,5.85482,5.94369,6.03893,5.95847,5.82603,5.73882,5.92362,5.94046,5.77163,5.97489,5.89941,5.94879,5.79271,5.88169,5.84438,5.82588,5.83078,5.92405,5.77119,5.97333,5.74166,5.8872,5.99426,5.87199,5.82899,5.81883,5.80185,5.83727,5.83412,5.82742,5.87756,5.91094,6.09863,5.90365,5.82732,5.81831,5.73572,5.91034,5.77371,5.89719,5.81798,5.88141,5.87556,5.88968,6.11182,5.9573,5.83833,5.96578,5.9176,5.84834,5.82534,5.90929,5.90861,5.9569,5.38978,5.8204,5.87261,5.91505,5.86434,5.86464,5.64109,6.00499,5.96431,5.86721,5.70649,5.99621,5.70858,5.70299,5.89035,5.82715,5.84704,5.77077,5.92623,5.85754,5.83223,5.82437,5.91814,5.81009,6.01658,5.95084,5.91866,5.93322,5.89539,5.84703,5.88894,5.8568,5.86162,5.91468,5.91488,5.95877,5.94002,5.87872,5.90949,5.94286,5.89586,5.91641,5.89215,5.88813,5.88646,5.86591,5.84386,5.92123,5.88832,5.8213,5.82616,5.84156,5.7786,5.84301,5.79077,5.86081,5.84729,5.79368,5.85037,5.84185,5.87681,5.86351,5.8417,5.84342,5.83989,5.86812,5.79972,5.85902,5.85662,5.82461,5.76821,5.85317,5.76581,5.86572,5.88747,5.81374,5.826,5.70464,5.9032,5.9147,5.92351,5.96498,5.91281,5.89405,5.92747,5.88891,5.92738,5.94966,5.94311,5.90621,5.92939,5.97765,6.00744,5.97394,5.97053,5.93493,5.97372,5.93947,5.96716,5.93639,5.96097,5.95441,5.98491,5.94431,5.87788,5.93385,5.95566,5.94738,5.99966,5.93537,5.88339,5.89784,5.98045,5.98751,6.02346,5.78474,5.94791,5.95692,5.8558,5.89489,5.95978,6.01485,6.02252,5.96398,5.89934
