gene_id_5prime,gene_symbol_5prime,chr_5prime,gene_id_3prime,gene_symbol_3prime,chr_3prime,model_id,model_name,tissue,in_patient,in_frame,in_cosmic_fusions,dataset
SIDG31561,RPL9P8,15,SIDG07923,ERAL1,17,SIDM00339,LXF-289,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG31561,RPL9P8,15,SIDG07923,ERAL1,17,SIDM00339,LXF-289,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00004,A2M,12,SIDG05735,CUX1,7,SIDM00518,NCI-H290,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00004,A2M,12,SIDG05735,CUX1,7,SIDM00518,NCI-H290,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG00064,ABCB1,7,SIDG13047,IMMP2L,7,SIDM00311,NCI-H2810,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00098,ABCD3,1,SIDG71497,ARHGAP29-AS1,1,SIDM00763,NCI-H1915,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00099,ABCD4,14,SIDG41606,ZFYVE1,14,SIDM00640,MSTO-211H,Lung,False,stop-codon,False,Sanger Cell Lines Fusions
SIDG00123,ABHD12,20,SIDG33802,SCFD2,4,SIDM00709,NCI-H2085,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG00131,ABHD16A,6,SIDG09169,FKBPL,6,SIDM00733,NCI-H2171,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG15835,LINC01814,2,SIDG13521,KCNIP3,2,SIDM00320,VMRC-LCD,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG15835,LINC01814,2,SIDG13521,KCNIP3,2,SIDM00320,VMRC-LCD,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG15832,LINC01811,3,SIDG14584,LHFPL4,3,SIDM00710,NCI-H2081,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG13716,KIAA2012,2,SIDG22128,NPHP4,1,SIDM00293,LU-139,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG00189,ACBD5,10,SIDG72596,LINC02628,10,SIDM00926,NCI-H2172,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00191,ACBD7,10,SIDG25854,PROS2P,3,SIDM00750,NCI-H1568,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00211,ACO1,9,SIDG02389,BNC2,9,SIDM00048,EMC-BAC-1,Lung,False,ambiguous,False,Sanger Cell Lines Fusions
SIDG00211,ACO1,9,SIDG02389,BNC2,9,SIDM00048,EMC-BAC-1,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00211,ACO1,9,SIDG02389,BNC2,9,SIDM00048,EMC-BAC-1,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00218,ACOT7,1,SIDG22128,NPHP4,1,SIDM00506,COR-L88,Lung,True,Yes,False,Sanger Cell Lines Fusions
SIDG00257,ACSS2,20,SIDG27087,RFPL1S,22,SIDM00100,NCI-H2595,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00377,ADAM15,1,SIDG41424,ZBTB7B,1,SIDM01127,NCI-H596,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00377,ADAM15,1,SIDG41424,ZBTB7B,1,SIDM01127,NCI-H596,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG00372,ADAM9,8,SIDG24984,PLEKHA2,8,SIDM00865,DMS-114,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG00420,ADAMTS20,12,SIDG34554,SLC2A13,12,SIDM00758,NCI-H1993,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00431,ADARB2,10,SIDG04440,CFAP61,20,SIDM01116,NCI-H810,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00440,ADCY1,7,SIDG11157,HECW1,7,SIDM00711,NCI-H2066,Lung,False,Yes,False,Sanger Cell Lines Fusions
SIDG00441,ADCY2,5,SIDG25707,PRDM16,1,SIDM00927,NCI-H510A,Lung,False,No,False,Sanger Cell Lines Fusions
SIDG00455,ADD3,10,SIDG21079,MXI1,10,SIDM00154,NCI-H2795,Lung,False,5UTR_5UTR,False,Sanger Cell Lines Fusions
SIDG00523,ADNP,20,SIDG39674,TSNARE1,8,SIDM00754,NCI-H1781,Lung,False,5UTR_CODING,False,Sanger Cell Lines Fusions
